Álvaro Obregón,74447.7961047079,871,3865.02471481377,36,78312.82081952167,810322.2075929376
Azcapotzalco,11092.8787070705,90,33.45812174093,1,11126.33682881143,404377.34527199436
Benito Juárez,2785.53432720718,42,213.551190405969,4,2999.085517613149,372345.7478288932
Coyoacán,23137.5537486208,351,1746.23792303773,12,24883.79167165853,608277.1818730237
Cuajimalpa de Morelos,43234.8203730067,517,826.742396996617,8,44061.56277000332,306627.33458114957
Cuauhtémoc,7441.85756750747,71,183.809747766401,3,7625.667315273871,417115.9862164876
Gustavo A. Madero,46348.4486255138,548,2554.50492704396,16,48902.95355255777,1269199.07111537
Iztacalco,11573.1303726418,146,627.014617572864,5,12200.144990214663,370363.9239712641
Iztapalapa,124096.449232293,1661,11793.367127789,110,135889.816360082,1955156.4779697878
La Magdalena Contreras,20980.0567188833,375,0.0,0,20980.0567188833,298531.2956937314
Miguel Hidalgo,14833.4136230477,108,4662.76238329628,16,19496.17600634398,475798.48726799956
Milpa Alta,120536.002427369,644,0.0,0,120536.002427369,431843.3529611
Tláhuac,48516.7227361088,378,143.611846538546,1,48660.334582647345,623006.5450380031
Tlalpan,126629.559806231,1070,1945.57039809743,26,128575.13020432844,1163441.780373076
Venustiano Carranza,5577.67443461625,50,437.965602617196,4,6015.6400372334465,428675.44848525693
Xochimilco,183353.745941715,1869,156.554477954395,1,183510.3004196694,867402.2689992149
,,,,,,
