Acatic,44403.4862352754,160,1687.01502225145,7,46090.50125752685,99807.70149168345
Acatlán de Juárez,80766.1294323493,292,0.0,0,80766.1294323493,84442.940466995
Ahualulco de Mercado,27101.7069285325,220,0.0,0,27101.7069285325,100534.779667683
Amacueca,40019.3442630694,104,0.0,0,40019.3442630694,40019.3442630694
Amatitán,15089.1249867747,117,48.0686647164305,1,15137.19365149113,59450.152583383235
Ameca,199066.541033475,895,2536.01593192616,16,201602.55696540116,294802.5591596908
Arandas,122287.005930466,564,2013.33199905899,15,124300.33792952499,361729.756736236
Atemajac de Brizuela,30431.843544919,116,78.3434793454925,1,30510.18702426449,30510.18702426449
Atengo,31006.6267188738,108,0.0,0,31006.6267188738,40866.6966297801
Atenguillo,37087.4536064962,167,0.0,0,37087.4536064962,44367.6044114908
Atotonilco el Alto,126944.786734885,670,543.184185670758,6,127487.97092055576,257140.98233872387
Atoyac,53270.8591819194,193,0.0,0,53270.8591819194,53958.017833508726
Autlán de Navarro,49398.2194073331,294,0.0,0,49398.2194073331,377798.9721342776
Ayotlán,96023.7176414271,483,0.0,0,96023.7176414271,175625.365583348
Ayutla,61460.9296544094,281,0.0,0,61460.9296544094,96579.0135223667
blvd bosques de santa anita 255,657791.384737734,3778,122145.660783574,1081,779937.045521308,2197602.664542331
Bolaños,109412.495139076,229,0.0,0,109412.495139076,122088.124743904
Cabo Corrientes,86596.2852218394,357,0.0,0,86596.2852218394,101839.063611121
Cañadas de Obregón,290368.378747965,738,0.0,0,290368.378747965,290368.378747965
Casimiro Castillo,37084.9198080958,215,0.0,0,37084.9198080958,158976.907943751
Chapala,133834.346666907,723,0.0,0,133834.346666907,312089.834659099
Chimaltitán,58374.2840252052,215,0.0,0,58374.2840252052,70023.3352060151
Chiquilistlán,27079.3524387973,90,0.0,0,27079.3524387973,30027.2312358177
Cihuatlán,60350.3599193141,351,0.0,0,60350.3599193141,213775.55920254986
Cocula,66562.0914033916,365,0.0,0,66562.0914033916,149627.172726375
Colotlán,171488.308841079,532,0.0,0,171488.308841079,237095.190322006
Concepción de Buenos Aires,49008.4173056389,134,0.0,0,49008.4173056389,54763.887591807
Cuautitlán de García Barragán,100837.079937636,534,0.0,0,100837.079937636,162834.68962707356
Cuautla,8006.87421500379,61,0.0,0,8006.87421500379,24801.1783210657
Cuquío,171049.298219599,575,0.0,0,171049.298219599,177064.467764276
Degollado,141264.527275892,648,0.0,0,141264.527275892,205397.982098877
Ejutla,8765.26467840659,45,0.0,0,8765.26467840659,21972.7810858794
El Arenal,66206.8434111377,368,7869.8873128239,16,74076.7307239616,162682.1918910919
El Grullo,15531.3316234508,98,0.0,0,15531.3316234508,123739.850444599
El Limón,67529.9542323433,248,0.0,0,67529.9542323433,70195.9022419776
El Salto,165338.007843611,1021,2029.6292212799,9,167367.6370648909,791834.7162036819
Encarnación de Díaz,1649735.93137255,3783,6768.90521149204,32,1656504.836584042,1798076.5312990553
Etzatlán,26684.3371088107,212,0.0,0,26684.3371088107,113751.02879391107
Gómez Farías,27358.0568979604,140,0.0,0,27358.0568979604,72501.1220597077
Guachinango,26916.2815015194,134,0.0,0,26916.2815015194,41417.7073894001
Guadalajara,50592.0300898988,755,34857.7895079864,538,85449.8195978852,2430411.644829849
Hostotipaquillo,31610.2174526532,257,0.0,0,31610.2174526532,67425.9216334703
Huejúcar,209732.043432789,424,0.0,0,209732.043432789,233240.41172032
Huejuquilla el Alto,245769.145650313,573,524.431427798477,1,246293.57707811147,269793.7814389365
