Abasolo,40272.7200253077,78,0.0,0,40272.7200253077,100691.498753391
Aldama,120966.191688508,343,1437.70105138186,3,122403.89273988985,178477.95243560986
Altamira,320780.498051651,1181,9156.21118877644,42,329936.7092404274,730925.0682457171
Antiguo Morelos,30037.6672630854,57,0.0,0,30037.6672630854,30037.6672630854
Burgos,13065.919212485,45,0.0,0,13065.919212485,15477.9081543536
Bustamante,32195.9127494885,57,1308.84781552904,2,33504.76056501754,33504.76056501754
Camargo,79664.1364836171,193,0.0,0,79664.1364836171,93003.9189002873
Casas,27106.1304323787,73,0.0,0,27106.1304323787,37174.7577491035
Ciudad Madero,166129.733452715,560,1586.7863912315,10,167716.5198439465,435625.0814437695
Cruillas,25527.4686603952,59,0.0,0,25527.4686603952,25527.4686603952
El Mante,460493.390324817,1023,0.0,0,460493.390324817,533274.761730125
Gómez Farías,64588.2204545227,231,5975.49227292971,11,70563.71272745241,70563.71272745241
González,138712.225509402,215,4835.7632610437,15,143547.9887704457,322797.23341433756
Güémez,106945.261980745,239,4013.92209772344,9,110959.18407846843,110959.18407846843
Guerrero,47621.7642954723,106,0.0,0,47621.7642954723,49531.5051337613
Gustavo Díaz Ordaz,103046.121348966,213,0.0,0,103046.121348966,103046.121348966
Hidalgo,148401.432525954,341,0.0,0,148401.432525954,148401.432525954
Jaumave,71885.0268369819,184,0.0,0,71885.0268369819,73513.3936749549
Jiménez,51366.3853335798,83,0.0,0,51366.3853335798,57865.5239147661
Llera,102272.688121598,235,0.0,0,102272.688121598,119077.548522879
Mainero,26719.1504308184,77,0.0,0,26719.1504308184,26719.1504308184
Matamoros,1337224.18428681,4612,7027.99479562586,20,1344252.1790824358,1573609.012950776
Méndez,36004.270838598,80,3615.73847061171,7,39620.00930920971,39620.00930920971
Mier,12147.4255094428,31,0.0,0,12147.4255094428,64043.7310220666
Miguel Alemán,107392.192991358,331,0.0,0,107392.192991358,124002.638581051
Miquihuana,44509.0509857924,49,0.0,0,44509.0509857924,44509.0509857924
Nuevo Laredo,211866.328240512,801,742.416501709215,5,212608.7447422212,1435808.0956759793
Nuevo Morelos,23349.0909334797,62,0.0,0,23349.0909334797,23349.0909334797
Ocampo,33004.3565642478,82,32304.0792891028,77,65308.4358533506,116228.52228590118
Padilla,70586.8310014852,133,0.0,0,70586.8310014852,73621.7839648508
Palmillas,21261.5066573575,28,0.0,0,21261.5066573575,22119.3043129962
Reynosa,1443777.46863351,5135,17187.5845293781,100,1460965.053162888,1886750.6575749759
Río Bravo,419849.247352786,1387,3368.46095559662,6,423217.70830838266,534223.3468518617
San Carlos,32145.6721252236,70,0.0,0,32145.6721252236,32145.6721252236
San Fernando,424100.646889979,875,0.0,0,424100.646889979,520146.106626517
San Nicolás,6606.02257832112,24,0.0,0,6606.02257832112,6606.02257832112
Soto la Marina,75135.2241611362,177,0.0,0,75135.2241611362,129369.30204442
Tampico,306770.722592719,1142,494.489747083147,2,307265.2123398022,551708.761453537
Tula,66691.6700776929,209,20855.1204719022,46,87546.79054959511,120877.89898787031
Valle Hermoso,353267.465269046,778,0.0,0,353267.465269046,353267.465269046
Victoria,611950.912219159,2377,7582.4552793095,67,619533.3674984685,1054626.7775971235
Villagrán,18441.8782264209,41,0.0,0,18441.8782264209,18441.8782264209
Xicoténcatl,43868.7726558452,139,0.0,0,43868.7726558452,57412.1106190062
,,,,,,
